Lease Name,Lease No.,Basin,County,Date,Oil (BBL),Gas (MCF),month_index,Segment,seg_id
ALLISON 7-1280 B,22406,Midland,Upton,2024-06-01,24292.0,26279.0,0,0,ALLISON 7-1280 B_0
ALLISON 7-1280 B,22406,Midland,Upton,2024-07-01,64356.0,78781.0,1,0,ALLISON 7-1280 B_0
ALLISON 7-1280 B,22406,Midland,Upton,2024-08-01,62992.0,87420.0,2,0,ALLISON 7-1280 B_0
ALLISON 7-1280 B,22406,Midland,Upton,2024-09-01,46539.0,81518.0,3,0,ALLISON 7-1280 B_0
ALLISON 7-1280 B,22406,Midland,Upton,2024-10-01,38783.0,68250.0,4,0,ALLISON 7-1280 B_0
ALLISON 7-1280 B,22406,Midland,Upton,2024-11-01,32991.0,62143.0,5,0,ALLISON 7-1280 B_0
ALLISON 7-1280 B,22406,Midland,Upton,2024-12-01,30586.0,61021.0,6,0,ALLISON 7-1280 B_0
ALLISON 7-1280 B,22406,Midland,Upton,2025-01-01,26941.0,60237.0,7,0,ALLISON 7-1280 B_0
ALLISON 7-1280 B,22406,Midland,Upton,2025-02-01,21890.0,46824.0,8,0,ALLISON 7-1280 B_0
ALLISON 7-1280 B,22406,Midland,Upton,2025-03-01,22603.0,47821.0,9,0,ALLISON 7-1280 B_0
ALLISON 7-1280 B,22406,Midland,Upton,2025-04-01,23038.0,42939.0,10,0,ALLISON 7-1280 B_0
ALLISON 7-1280 B,22406,Midland,Upton,2025-05-01,21896.0,38826.0,11,0,ALLISON 7-1280 B_0
ALLISON 7-1280 B,22406,Midland,Upton,2025-06-01,18125.0,38041.0,12,0,ALLISON 7-1280 B_0
ALLISON 7-1280 B,22406,Midland,Upton,2025-07-01,16133.0,30608.0,13,0,ALLISON 7-1280 B_0
ALLISON 7-1280 B,22406,Midland,Upton,2025-08-01,16484.0,40428.0,14,0,ALLISON 7-1280 B_0
ALLISON 7-1280 B,22406,Midland,Upton,2025-09-01,16616.0,44327.0,15,0,ALLISON 7-1280 B_0
ALLISON 7-1280 B,22406,Midland,Upton,2025-10-01,15107.0,44460.0,16,0,ALLISON 7-1280 B_0
ALLISON 7-1280 B,22406,Midland,Upton,2025-11-01,13339.0,42472.0,17,0,ALLISON 7-1280 B_0
ALLISON 7-1280 B,22406,Midland,Upton,2025-12-01,12718.0,44855.0,18,0,ALLISON 7-1280 B_0
ALLISON 7-1280 B,22406,Midland,Upton,2026-01-01,11802.0,42768.0,19,0,ALLISON 7-1280 B_0
ALLISON 7-1280 D,22407,Midland,Upton,2024-06-01,11003.0,11263.0,0,0,ALLISON 7-1280 D_0
ALLISON 7-1280 D,22407,Midland,Upton,2024-07-01,34172.0,37799.0,1,0,ALLISON 7-1280 D_0
ALLISON 7-1280 D,22407,Midland,Upton,2024-08-01,34427.0,44048.0,2,0,ALLISON 7-1280 D_0
ALLISON 7-1280 D,22407,Midland,Upton,2024-09-01,22720.0,35251.0,3,0,ALLISON 7-1280 D_0
ALLISON 7-1280 D,22407,Midland,Upton,2024-10-01,17253.0,23545.0,4,0,ALLISON 7-1280 D_0
ALLISON 7-1280 D,22407,Midland,Upton,2024-11-01,15277.0,24357.0,5,0,ALLISON 7-1280 D_0
ALLISON 7-1280 D,22407,Midland,Upton,2024-12-01,14108.0,25056.0,6,0,ALLISON 7-1280 D_0
ALLISON 7-1280 D,22407,Midland,Upton,2025-01-01,13107.0,24861.0,7,0,ALLISON 7-1280 D_0
ALLISON 7-1280 D,22407,Midland,Upton,2025-02-01,10546.0,21247.0,8,0,ALLISON 7-1280 D_0
ALLISON 7-1280 D,22407,Midland,Upton,2025-03-01,10524.0,22624.0,9,0,ALLISON 7-1280 D_0
ALLISON 7-1280 D,22407,Midland,Upton,2025-04-01,2368.0,5146.0,10,0,ALLISON 7-1280 D_0
ALLISON 7-1280 D,22407,Midland,Upton,2025-05-01,9100.0,12377.0,11,0,ALLISON 7-1280 D_0
ALLISON 7-1280 D,22407,Midland,Upton,2025-06-01,8830.0,18312.0,12,0,ALLISON 7-1280 D_0
ALLISON 7-1280 D,22407,Midland,Upton,2025-07-01,8388.0,18023.0,13,0,ALLISON 7-1280 D_0
ALLISON 7-1280 D,22407,Midland,Upton,2025-08-01,8067.0,16985.0,14,0,ALLISON 7-1280 D_0
ALLISON 7-1280 D,22407,Midland,Upton,2025-09-01,6437.0,15988.0,15,0,ALLISON 7-1280 D_0
ALLISON 7-1280 D,22407,Midland,Upton,2025-10-01,7633.0,16081.0,16,0,ALLISON 7-1280 D_0
ALLISON 7-1280 D,22407,Midland,Upton,2025-11-01,7569.0,17631.0,17,0,ALLISON 7-1280 D_0
ALLISON 7-1280 D,22407,Midland,Upton,2025-12-01,7822.0,18620.0,18,0,ALLISON 7-1280 D_0
ALLISON 7-1280 D,22407,Midland,Upton,2026-01-01,7520.0,17769.0,19,0,ALLISON 7-1280 D_0
