seg_id,Basin,County,months,qi,Di,b,r2
ALLISON 7-1280 B_0,Midland,Upton,18,67850.13670631933,0.2208421347775933,0.8601244140248578,0.976013725646471
ALLISON 7-1280 D_0,Midland,Upton,17,34483.77795502892,0.6321018737685115,1.7398724542899624,0.9368467947402667
AVERY 35-11 B_0,Midland,Upton,23,24547.10475176475,0.1976968197222561,0.8599095327366287,0.9043727882012426
AVERY 35-11 D_0,Midland,Upton,25,33495.52865380963,0.1459254035955247,0.16323023959557897,0.9189897895326208
AVERY 35-11 E_0,Midland,Upton,23,29946.62602106375,0.5709403041056339,1.3813879524164683,0.9763949325731751
BEN-MEG_0,Delaware,Ward,25,29630.429386646665,0.03181710214350654,1.9999999999978804,0.30139761645051666
BIG EL 45-04 C_0,Midland,Howard,32,63806.59359966557,0.3127198536338572,0.6947133796464432,0.9913988238999136
BIG EL 45-04 D_0,Midland,Howard,34,83158.73394010984,0.3122655098980018,0.9490054155475609,0.9899137802623045
BIG TREE WEST C_0,Midland,Upton,13,43935.15859608849,0.3530782841066357,0.7116116612850648,0.9301666311828733
BIG TREE WEST D_0,Midland,Upton,12,35864.35295960844,0.2404410424969215,1.9999999999997158,0.7932437480326332
BLACK BEAR STATE D_0,Delaware,Reeves,14,27565.697072241994,0.0642300748357806,0.010000000000000057,0.9529217913509235
BOOKS 16-9 (ALLOC-H)_0,Midland,Glasscock,47,64571.80034580138,0.3167119499930722,1.3029817432804616,0.982164926555804
BRUT C_0,Midland,Howard,24,30242.626553433412,0.753852256354283,1.9999999999999998,0.965560294066581
CAVE BEAR 50 WA A_0,Delaware,Ward,14,31004.881331392968,0.42739635770121925,1.8712980185942263,0.9769131585631089
CAVE BEAR 60 WB A_0,Delaware,Ward,15,40191.57948502465,0.5010213601396039,1.3494532844278957,0.8832246858609702
CLORETTE DEPASTO 3-11 UNIT_0,Delaware,Reeves,34,207137.96052784202,0.2817543472277277,0.7337077734338653,0.9798708397505803
CONNER 15-3 (ALLOC-F)_0,Midland,Howard,44,65479.201412881,0.3401444397656874,0.8756248940100362,0.9841920845554392
CONNER 15-3 (ALLOC-H)_0,Midland,Howard,44,67447.2552173139,0.27837435187882575,0.8784991804204166,0.9898423500123997
COOK F 21 A_0,Midland,Glasscock,22,75187.99775646567,0.3776446960796201,1.2715727604600526,0.9864271186494193
COOK F 21 B_0,Midland,Glasscock,22,40783.81092063943,0.7701040057720171,1.5172807329551334,0.9508169685660354
COOK F 21 C_0,Midland,Glasscock,21,82355.20280012749,0.4232926010488629,1.1244858551078263,0.9730929993235249
COOK F 21 D_0,Midland,Glasscock,20,67625.09401478156,0.7169907989074397,1.7940980699024016,0.9928425308144044
COX 22 A_0,Midland,Glasscock,17,39725.629582755995,0.33473427281080353,0.981495141560146,0.9885616775530275
COX 22 H_0,Midland,Glasscock,17,51856.21927448486,0.4360292264191565,0.9773394791259995,0.9920753960253839
DAVIS 36-5 (ALLOC-A)_0,Midland,Howard,50,78939.85690178144,0.27212128403703795,0.9046738859561196,0.9360539933891636
DODGER 33-28_0,Midland,Howard,25,33500.0026948482,0.370248936593342,1.5565282733245627,0.9753914669072342
EAST RANKIN UNIT_0,Midland,Upton,42,43242.50391949328,0.18515472489055496,0.7999825596340003,0.9938922207268573
EMILY BOSS_0,Delaware,Reeves,10,98602.35416419114,0.7788779058601236,1.52042085100744,0.997996147136805
FIRE EYES 47-38_0,Midland,Howard,44,23482.56233704132,0.47106546104396374,1.8267799703431167,0.8291372421026626
FIRE EYES 47-38_1,Midland,Howard,38,157723.8209878396,0.4589635657841145,1.441135736266227,0.9656840038698306
FLAMING STAR 02-11_0,Midland,Howard,39,85722.95728092633,0.20221030491323969,0.9977025965216314,0.9047247539177483
FLOUNDER 136-135 UNIT W_0,Delaware,Reeves,19,19699.506021443325,0.17625522285716236,1.1817133330010066,0.6466658652577929
FLOUNDER 136-135 UNIT W_1,Delaware,Reeves,32,34926.062839865284,0.27945312879935336,1.1415609536928837,0.9648949275114581
GARON 27-22_0,Midland,Howard,60,62100.57002814677,0.20254640667594567,1.3374915517811126,0.8882600083690682
GETLO 25-36_0,Midland,Howard,71,31445.061961921605,0.20502493477583061,1.999999999999994,0.4800780767918047
GINGER 22-27_0,Midland,Howard,9,34228.58785251546,0.37868991366352084,1.9999999999997105,0.5076800197902108
GINGER 22-27_1,Midland,Howard,80,80639.26781145029,0.20621835495717616,1.1573900714700336,0.9657631391639808
GUNNER C_0,Midland,Howard,27,37315.361276103584,0.40004644476321494,1.1243551068903384,0.9731221635525218
GUNNER D_0,Midland,Howard,26,30164.657746733596,0.23697200110265915,1.082858593658459,0.9709185648222963
HALFMANN 21 E_0,Midland,Glasscock,21,59988.55031858903,0.4347708801449662,1.1241675121953967,0.9472213886093784
HALFMANN 21 F_0,Midland,Glasscock,20,64325.32423904818,0.34923876945632215,1.36557321573205,0.9824298299380294
HALFMANN 21 H_0,Midland,Glasscock,20,106525.46187347529,0.2552492355842279,0.9044229419429164,0.9849904872380976
HULEN JUNE 14_0,Midland,Howard,30,136559.22264323852,0.4844073934847058,1.1352032098853713,0.9870591647493443
JOHN J BUSH 218-219 UNIT A_0,Delaware,Reeves,78,47395.533353412524,0.0929556045186065,1.9999999999996814,0.5853585926520336
JOSEPHINE 37-36_0,Midland,Howard,28,27595.627477515074,0.36549626763906967,1.9999999999999978,0.5484248524782227
JOSEPHINE 37-36_1,Midland,Howard,44,128336.1334263473,0.26786427853936273,1.366655492002037,0.7627911334824923
JUNIPER WEST_0,Midland,Upton,28,74001.06511308845,0.5425952552113746,1.1557622925949587,0.9485148057120074
LEECH WEST_0,Midland,Howard,36,53378.09064483966,0.08062339037711616,0.39069166168295,0.9527560742516049
MEGALODON 50 WA A_0,Delaware,Ward,20,61099.52497997075,0.35226291445697155,1.9999999999999998,0.9491642697388736
MEGALODON 50 WA C_0,Delaware,Ward,20,44428.4906333172,0.12398666248168799,0.18864609135457638,0.9815278661293888
MEGALODON 50 WA D_0,Delaware,Ward,20,55278.83105671228,0.15215557077779224,0.9310841464792844,0.9383985261603959
MEGALODON 50 WA E_0,Delaware,Ward,20,43801.08006242083,0.14138985378815247,1.3241680051799305,0.8391803866329629
MEMPHIS FLASH 39-27_0,Midland,Howard,51,15833.848626163377,0.2898178936706325,1.99999999999995,0.6015085716001263
MEMPHIS FLASH 39-27_1,Midland,Howard,26,44117.63069819615,0.30718017268820846,0.9826577461082556,0.9836624194701865
MEREDITH 33-52-11 A_0,Midland,Upton,36,26388.275551295912,0.1129916479899996,0.855855496142004,0.8560779838069746
MEREDITH 33-52-11 C_0,Midland,Upton,34,27212.081390223604,0.08549033545857687,0.464153741212124,0.8130630471542566
MOSAIC STATE UNIT 33-34_0,Delaware,Reeves,10,119696.34985072818,0.47480108077137817,0.11699146488551933,0.9431371560822458
MOTHBALL 154-153 UNIT E_1,Delaware,Reeves,32,65126.48556815441,0.2903517810532357,0.7066990449165931,0.9726964867523855
MR. DYNAMITE 41-44_0,Midland,Howard,62,20705.860257926815,0.6467007008279824,1.9062094088312054,0.8979276915315301
MR. DYNAMITE 41-44_2,Midland,Howard,11,75753.02026579657,0.9999999999999998,1.581646028806269,0.9816314965719972
MR. PHILLIPS 11-02 A_0,Midland,Howard,30,74542.61769323095,0.42216497545867737,0.9646339456811591,0.9675817518604563
NOEL 313-312-311 E_0,Delaware,Reeves,30,23645.422348690787,0.17359769005260992,0.9653942872735299,0.9643939307840336
OTTER 139-138 UNIT E_2,Delaware,Reeves,37,71821.15998384373,0.2559852015187122,0.7344348274797068,0.9662214379632768
OTTER 139-138 UNIT W_1,Delaware,Reeves,34,68058.18298330632,0.22267092117553478,0.5143067079534059,0.9781990217622786
PACER BURTON 13-12_0,Midland,Howard,23,33608.76727371201,0.3416746891251134,1.4902720064697608,0.9087090253892647
PACER BURTON 13-12_2,Midland,Howard,31,149931.8858754562,0.23214866709709245,0.7813282284528666,0.968956088415824
PRISCILLA 23-14_0,Midland,Howard,49,71302.80408310362,0.32815960994836224,1.3459208764385708,0.9480621884715035
PRISCILLA 23-14_1,Midland,Howard,30,147271.7767653552,0.19683705126461568,0.8367861679237312,0.9906312688167229
RISING SUN C_0,Midland,Howard,25,54889.60980313852,0.4393153621521096,0.9407750208413936,0.9797655042083939
RISING SUN D_0,Midland,Howard,25,34691.538443646794,0.32756023660824723,1.1310997343903615,0.9626373499337781
ROI TAN B_0,Midland,Howard,19,52845.13919795622,0.34378928737674075,1.1941917438239549,0.9608371828054981
ROI TAN F_0,Midland,Howard,18,22003.887622849208,0.06815104847759947,0.010000000074802996,0.6319885446702569
SANDY E_0,Delaware,Reeves,15,30440.833592000283,0.3275330672125742,1.1503936908045722,0.971042399835296
SATNIN 37-36_0,Midland,Howard,30,29470.562945116453,0.47952901194561964,1.9999999999999998,0.8253349383254251
SATNIN 37-36_1,Midland,Howard,8,69757.93534588022,0.2750704765135174,0.8597658501837929,0.5792868526589161
SATNIN 37-36_2,Midland,Howard,44,125175.93696684,0.20427739720488736,0.8974404603453934,0.9324036517216895
SCATTER GINGER 15-27 (ALLOC-D)_0,Midland,Howard,31,72232.53526849214,0.3297059812253859,0.9929537214027,0.9828710358989866
SCATTER TISH 10-46 (ALLOC-D)_0,Midland,Howard,34,55884.35162994898,0.24140792994066584,1.0120220565306552,0.9954521422319657
SOUTHWEST 39-34 (ALLOC-A)_0,Midland,Howard,51,82876.44240738555,0.3472531140630344,1.126980493587074,0.9775202997164293
SUN GUNNER 10-03 (ALLOC-A)_0,Midland,Howard,33,58608.21850400707,0.42823965703864886,1.2735259388359264,0.9515482762626964
SUN GUNNER 10-46 (ALLOC-C)_0,Midland,Howard,36,67791.3843247172,0.2170390694081487,0.8524745849318582,0.9838101133679259
SUN GUNNER 10-46 (ALLOC-D)_0,Midland,Howard,37,70838.47979013518,0.2047227382574304,0.6942175554967689,0.988221991005973
SUN TUPELO 15-27 (ALLOC-A)_0,Midland,Howard,33,74733.0137287657,0.39152586103205494,1.0737300236802403,0.9918740879432144
SUN TUPELO 15-27 (ALLOC-C)_0,Midland,Howard,33,77041.67778825565,0.33194766852829943,0.8778017733987281,0.9912480684104295
SUN TUPELO 15-27 (ALLOC-D)_0,Midland,Howard,33,67059.37542369695,0.2597966531107455,0.898207228148733,0.9724337803849187
TCB B_0,Midland,Howard,25,23864.219546271095,0.348703525025971,1.590572309051241,0.9220551641037315
TELLER 186_1,Delaware,Reeves,28,62143.5652928584,0.18782831948578319,1.0827870123130856,0.889094750267738
THE KING 45-04 C_0,Midland,Howard,34,57044.3127640202,0.2763611513667504,0.6703749897995385,0.9831085453056297
THE KING 45-04 D_0,Midland,Howard,33,73870.1756134666,0.2811705018212312,0.8644061594916331,0.9899351473825269
THE KING 45-04_0,Midland,Howard,88,35393.58879217177,0.18698306330625336,1.9999999999999998,0.4021256356329106
THUMPER 14-23 B_0,Midland,Howard,43,92891.44203650989,0.20919390858578257,1.082673525853781,0.9459396280563603
THUMPER 14-23 D_0,Midland,Howard,33,94050.77469314523,0.7522279821936887,1.477432159136391,0.9723224525278351
TISH 46-03_1,Midland,Howard,34,80725.09160012631,0.33305032965763204,0.9728703057608686,0.9872754247206608
UL ARMY 50 1BS B_0,Delaware,Ward,13,36574.917586126336,0.19495402246362054,0.42548910617819596,0.9441460176423689
UL ARMY 50 WA-XY A_0,Delaware,Ward,10,34016.320161293675,0.4427001041231203,1.9821691022384569,0.990794161648289
UL ARMY 50 WA-XY C_0,Delaware,Ward,14,34191.485944961016,0.24078300178574855,1.240729124929933,0.9255659985241644
UL DINO JUICE 18-41-40-45 WA6_0,Delaware,Ward,28,54293.62047061755,0.16520467695501942,1.3674767398013639,0.9524633726178622
UL ECLIPSE 16-29-24 WA3_0,Delaware,Ward,29,40953.21776375842,0.19999837082086108,1.0569368182576349,0.9632438110989243
UL ECLIPSE 16-29-24 WA4_0,Delaware,Ward,29,37896.26584385395,0.3078012825799122,1.3443073758361768,0.9682628229022938
UL TILDEN 16-31-32 TB12_0,Delaware,Ward,24,23748.330513065383,0.4399102449170693,1.4876764614234073,0.9626874270084842
UL TILDEN 16-31-32 TB13_0,Delaware,Ward,28,23671.033291406973,0.3565863503635824,1.4399425292788106,0.7729583573859541
UL TILDEN 16-31-32 WA3_0,Delaware,Ward,30,28316.541782025746,0.26244505716370514,0.7677521201617488,0.9159475204980622
UL TILDEN 16-31-32 WA5_0,Delaware,Ward,23,27209.20769314546,0.4391028046222762,1.9333533043197868,0.9547263125252109
VERANCIA 50-26-27 UNIT 1 WA_0,Delaware,Reeves,22,17743.857362930838,0.06329163135919928,1.9999999999992863,0.3609746394721852
VERANCIA 50-26-27 UNIT 1 WA_1,Delaware,Reeves,34,72635.69363019502,0.2073167519259732,0.8860760256373635,0.9821762748273212
VERANCIA 50-26-27 UNIT 2 WA_1,Delaware,Reeves,43,40928.23758925283,0.02790612945276007,0.010000000000000002,0.5599413380393556
VINCE EVERETT 13-12_0,Midland,Howard,17,21287.80625083028,0.3688581686925198,1.9999999999996962,0.8009771276749861
VINCE EVERETT 13-12_2,Midland,Howard,50,210075.22504134517,0.578841851878451,1.4610118925086446,0.9764159004395218
WORTHY 13-12 (ALLOC-A)_0,Midland,Howard,44,42560.793956949725,0.2723297788473774,1.4209100315581389,0.9565455080894878
WYNN UNIT 03-53_0,Midland,Upton,13,28111.1670040984,0.8532698520165495,1.9999999999999998,0.9705940594498449
WYNN UNIT 03-53_1,Midland,Upton,37,68177.94583853029,0.35429745131628987,1.5028141107717075,0.9742607768039158
