Month,PDP Base (BOE/d),Midland new pads (BOE/d),Delaware new pads (BOE/d),New pads total (BOE/d),Total (BOE/d)
0,138000.0,4023.3599999999997,1638.1799999999998,5661.539999999999,143661.54
1,134617.50818082696,7061.506997969568,2971.145663009799,10032.652660979367,144650.16084180633
2,131405.1254144244,9524.937131517181,4093.435308466455,13618.372439983636,145023.49785440805
3,128350.15882346369,11608.67009408542,5061.710868743519,16670.38096282894,145020.53978629262
4,125441.15559801353,13421.397973686984,5912.574280740464,19333.97225442745,144775.127852441
5,122667.75461826389,15030.211171309045,6671.020002159377,21701.231173468423,144368.98579173232
6,120020.55893463374,16479.581018486788,7354.8643178236,23834.44533631039,143855.00427094413
7,117491.02575710946,17800.581406555975,7977.2482102926115,25777.829616848587,143268.85537395804
8,115071.37120694757,19015.825222956013,8548.138088855001,27563.963311811014,142635.33451875858
9,112754.48756622017,20142.308302141282,9075.26983309851,29217.57813523979,141972.06570145994
10,110533.87114968512,21193.145151641358,9564.766645534795,30757.91179717615,141291.78294686126
11,108403.55923879318,22178.678803246818,10021.557111215716,32200.235914462533,140603.79515325572
12,106358.07477449357,23107.21826955755,10449.666217962222,33556.88448751977,139914.95926201332
13,104392.37771569309,23985.544628371932,10852.422968541085,34837.96759691302,139230.3453126061
14,102501.82214299226,24819.268009179035,11232.611690376374,36051.87969955541,138553.70184254766
15,100682.11832993734,25613.085452204894,11592.584405874093,37205.66985807899,137887.78818801633
16,98929.29912222843,26370.971056930448,11934.345688708543,38305.31674563899,137234.61586786743
17,97239.69006367166,27096.318773624578,12259.617705186414,39355.936478810996,136595.62654248264
18,95609.88278979814,27792.05137539806,12569.890739975335,40361.94211537339,135971.82490517152
19,94036.71127891564,28460.704826683323,12866.462923698678,41327.167750382,135363.87902929765
20,92517.23060825437,29104.49445338416,13150.471815381623,42254.966268765784,134772.19687702015
21,91048.69791172545,29725.367449956546,13422.919762728177,43148.28721268472,134196.9851244102
22,89628.55527716632,30325.044988896407,13684.694453972561,44009.739442868966,133638.29472003528
23,88254.41435606318,30905.0563198343,13936.585714234674,44841.64203406897,133096.05639013214
24,86924.04248864666,31466.76662769971,14179.299339980544,45646.06596768025,132570.1084563269
25,85635.35017279779,32011.39997824283,14413.468576335968,46424.868554578796,132060.21872737657
26,84386.3797270737,32540.05835968401,14639.663702794098,47179.72206247811,131566.10178955182
27,83175.29501694589,33053.73759485596,14858.400089086686,47912.137683942645,131087.43270088854
28,82000.37212951176,33553.340724184935,15070.145004823053,48623.48572900799,130623.85785851974
29,80859.99089589527,34039.689329241075,15275.323407048012,49315.012736289085,130175.00363218435
30,79752.62717262405,34513.5331675435,15474.32288423901,49987.85605178251,129740.48322440656
31,78676.84580373738,34975.55841348516,15667.497899942033,50643.056313427194,129319.90211716457
32,77631.2941944776,35426.394741683376,15855.173451687528,51281.568193370906,128912.8623878485
33,76614.6964353385,35866.62144345794,16037.648239165135,51904.269682623075,128518.96611796157
34,75625.8479221611,36296.77273134677,16215.197418487367,52511.97014983414,128137.81807199525
35,74663.61042401387,36717.34235827183,16388.07500570714,53105.417363978966,127769.02778799283
36,73726.90755589466,37128.787655442255,16556.515981796136,53685.303637238394,127412.21119313306
37,72814.72061794481,37531.53307503323,16720.73814245179,54252.27121748502,127066.99183542983
38,71926.0847669593,37925.973309129564,16880.94372893048,54806.91703806004,126733.00180501935
39,71060.08548958386,38312.47604462586,17037.320870256994,55349.796914882856,126409.88240446671
40,70215.85534977482,38691.38440415674,17190.044862367624,55881.42926652437,126097.28461629919
41,69392.57098591364,39063.019115248484,17339.279305796572,56402.29842104505,125794.86940695869
42,68589.45033546226,39427.68044339107,17485.17712024942,56912.85756364049,125502.30789910274
43,67805.75006726003,39785.64991935767,17627.88145169311,57413.531371050776,125219.2814383108
44,67040.76320352865,40137.1918866331,17767.526485326827,57904.71837195993,124945.48157548858
45,66293.81691540327,40482.55489108542,17904.238175900606,58386.79306698602,124680.60998238929
46,65564.2704773681,40821.97293189004,18038.13490525223,58860.10783714228,124424.37831451038
