Month,PDP Base (BOE/d),Midland new pads (BOE/d),Delaware new pads (BOE/d),New pads total (BOE/d),Total (BOE/d),BOE / month,Revenue Oil,Revenue NGL,Revenue Gas,Revenue,OPEX,EBITDA,CAPEX,Net Operating Cash Flow,SEC Net Cash Flow,Discount Factor,PV (all-in),PV (SEC)
0,138000.0,4023.36,1638.1799999999998,5661.539999999999,143661.54,4367310.816,154207997.9886336,16107515.7515712,6013786.993632,176329300.7338368,63719064.805439994,112610235.9283968,72828000.0,39782235.928396806,47425029.856396794,0.9960366175231666,39624563.71162895,47237066.32410065
1,134617.50818082696,7061.506997969568,2971.145663009799,10032.652660979367,144650.16084180633,4397364.8895909125,155269195.30549932,16218361.185789205,6055171.452966687,177542727.9442552,64157553.73913141,113385174.20512378,72828000.0,40557174.20512378,48252562.76190789,0.988156915513073,40076852.164461486,47681103.58440787
2,131405.1254144244,9524.93713151718,4093.435308466455,13618.372439983636,145023.49785440805,4408714.334774004,155669939.6751362,16260220.209513484,6070799.638983805,178000959.5236335,64323142.14435272,113677817.37928079,72828000.0,40849817.37928079,48565067.465135306,0.980339550271202,40046691.598264866,47610256.39766133
3,128350.15882346367,11608.67009408542,5061.710868743519,16670.38096282894,145020.53978629262,4408624.409503295,155666764.44979757,16259888.547130056,6070675.811886038,177997328.80881366,64321830.13465308,113675498.67416058,72828000.0,40847498.674160585,48562591.39079136,0.9725840286478552,39727624.82070302,47231200.77643551
4,125441.15559801352,13421.397973686984,5912.574280740464,19333.97225442745,144775.127852441,4401163.886714206,155403336.37432396,16232372.646979338,6060402.672005462,177696111.69330877,64212981.10716026,113483130.5861485,72828000.0,40655130.5861485,48357167.387898356,0.9648898613946685,39227723.31625097,46659340.53834803
5,122667.75461826388,15030.211171309043,6671.020002159377,21701.231173468423,144368.98579173232,4388817.168068662,154967378.67763725,16186835.479270842,6043401.240430549,177197615.39733863,64032842.48212178,113164772.91521685,72828000.0,40336772.91521685,48017202.959336996,0.9572565631337503,38612640.60872702,45964782.67615068
6,120020.55893463374,16479.581018486788,7354.8643178236,23834.44533631039,143855.00427094413,4373192.129836702,154415664.82768202,16129207.213263726,6021885.562785139,176566757.6037309,63804873.17431748,112761884.42941341,72828000.0,39933884.42941341,47586970.65662764,0.9496836523270601,37924557.216532044,45192568.09636677
7,117491.02575710946,17800.581406555975,7977.2482102926115,25777.829616848587,143268.85537395804,4355373.203368324,153786485.66165417,16063487.448663052,5997348.901038182,175847322.0113554,63544895.03714384,112302426.97421156,72828000.0,39474426.97421156,47096330.080106124,0.9421706512460324,37191646.56985685,44372779.98287169
8,115071.37120694756,19015.825222956013,8548.138088855001,27563.963311811018,142635.33451875858,4336114.169370261,153106456.87479618,15992456.2794714,5970829.21122285,175069742.36549044,63263905.73111211,111805836.63437833,72828000.0,38977836.63437833,46566036.43077628,0.9347170859414398,36433249.875187606,43526069.87641813
9,112754.48756622017,20142.30830214128,9075.26983309851,29217.57813523979,141972.06570145994,4315950.797324382,152394496.273205,15918089.730691785,5943064.247915673,174255650.2518125,62969722.132962726,111285928.11884975,72828000.0,38457928.118849754,46010842.01416743,0.9273224862134931,35662901.51779156,42666888.40935399
